Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
men's wellness reviews,90,90,30,29,9.75,https://proactivwellnesscenters.com/patient-reviews/,0,0,0.00,0.31,338000000,"[71,0,28,28,0,28,71,71,71,42,28,28]",2025-12-24,"Local pack, Video, People also ask, Related searches, Discussions and forums",commercial,Organic
methyl folate for mthfr mutation,78,78,50,36,1.09,https://proactivwellnesscenters.com/hormone-replacement/mthfr-implications-and-treatment/,0,0,0.00,0.33,541000,"[0,0,0,0,0,0,78,78,78,78,78,100]",2026-01-05,"Sitelinks, Video, Image, People also ask, Related searches, Discussions and forums","commercial, informational",Organic
eden center in falls church,97,97,320,46,0.00,https://proactivwellnesscenters.com/medical-weight-loss/falls-church/,0,0,0.00,0.01,3120000,"[0,20,30,13,13,13,16,30,45,5,55,67]",2025-12-21,"Knowledge panel, Sitelinks, Video, Related searches",navigational,Organic
weight loss clinic semaglutide near me,23,23,70,16,0.00,https://proactivwellnesscenters.com/medical-weight-loss/martinsburg/,0,0,0.00,0,8410000,"[19,26,26,26,26,15,11,11,42,53,19,34]",2026-01-01,"Local pack, Sitelinks, Related searches",transactional,Organic
leaky gut symptoms and treatment,81,81,110,58,0.00,https://proactivwellnesscenters.com/intestinal-permeability-leaky-gut-diagnosis-and-treatment/,0,0,0.00,0,9200000,"[29,19,2,15,15,15,15,3,10,12,7,10]",2025-12-22,"Sitelinks, Image, Related searches, Discussions and forums, AI overview",informational,Organic
what are the best forms of exercise,87,87,70,75,0.55,https://proactivwellnesscenters.com/best-types-of-exercises-for-improved-health-and-weight-loss/,0,0,0.00,0.03,1290000000,"[64,64,78,78,78,100,100,64,64,0,0,0]",2026-01-20,"Sitelinks, Video, Featured snippet, Video Carousel, People also ask, Related searches, Discussions and forums",commercial,Organic
mission functional medicine,48,48,260,31,0.00,https://proactivwellnesscenters.com/dr-lawson/,0,0,0.00,0.02,217000000,"[65,100,81,100,81,100,100,100,81,81,81,65]",2026-02-17,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,Organic
mission functional medicine,59,59,260,31,0.00,https://proactivwellnesscenters.com/dr-lawson/,0,0,0.00,0.02,217000000,"[65,100,81,100,81,100,100,100,81,81,81,65]",2026-02-17,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,Organic
mold inspection fairfax,43,43,110,12,13.92,https://proactivwellnesscenters.com/cirs-mold-toxicity-treatment/fairfax/,0,0,0.00,0.21,310000,"[14,23,42,80,33,42,66,52,19,33,100,80]",2025-12-25,"Local pack, Sitelinks, Video, Image, Related searches",commercial,Organic
alexandria non-invasive fat removal,88,88,50,0,0.00,https://proactivwellnesscenters.com/medical-weight-loss/alexandria/,0,0,0.00,0,225000,"[33,55,100]",2026-02-15,"Video, People also ask, Related searches, AI overview",informational,Organic
leaking intestines symptoms,1,1,6600,50,0.13,https://proactivwellnesscenters.com/intestinal-permeability-leaky-gut-diagnosis-and-treatment/,0,0,0.00,0.3,155000,"[1,0,0,0,81,54,0,0,7,44,66,81]",2026-02-11,"Video, Image, People also ask, Related searches, Discussions and forums, AI overview",informational,People also ask
1900 gallows rd vienna va 22182,56,56,50,1,0.00,https://proactivwellnesscenters.com/contact-us/directions-to-the-office/,0,0,0.00,0.32,25700,"[100,81,45,45,36,45,45,63,63,63,18,18]",2026-01-16,Related searches,informational,Organic
harrisburg weight loss center,9,9,30,6,7.19,https://proactivwellnesscenters.com/medical-weight-loss/harrisburg/,0,0,0.00,0.79,473000,"[36,18,18,27,18,18,18,27,27,36,45,45]",2026-02-03,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Organic
harrisburg weight loss center,16,16,30,6,7.19,https://proactivwellnesscenters.com/medical-weight-loss/harrisburg/,0,0,0.00,0.79,473000,"[36,18,18,27,18,18,18,27,27,36,45,45]",2026-02-03,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Organic
harrisburg weight loss center,29,29,30,6,7.19,https://proactivwellnesscenters.com/pwc-max-weight-loss-program/harrisburg/,0,0,0.00,0.79,473000,"[36,18,18,27,18,18,18,27,27,36,45,45]",2026-02-03,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Organic
gain wave,79,79,40,8,2.79,https://proactivwellnesscenters.com/gainswave-therapy/leesburg/,0,0,0.00,0.36,212000000,"[0,71,100,57,14,71,14,57,57,100,100,100]",2025-12-29,"Local pack, Image pack, Sitelinks, Video, Image, Video Carousel, Related searches",informational,Organic
obesity clinic near me,75,75,40,39,0.00,https://proactivwellnesscenters.com/medical-weight-loss/fairfax/,0,0,0.00,0,97900000,"[29,2,6,1,1,4,6,2,1,2,5,4]",2025-12-19,"Local pack, Sitelinks, Related searches",transactional,Organic
proactive md vero beach,43,43,70,13,1.09,https://proactivwellnesscenters.com/,0,0,0.00,0.11,30900,"[100,100,100,100,100,18,45,45,45,36,36,18]",2026-01-29,"Knowledge panel, Sitelinks, Related searches",navigational,Organic
proactive md vero beach,63,63,70,13,1.09,https://proactivwellnesscenters.com/,0,0,0.00,0.11,30900,"[100,100,100,100,100,18,45,45,45,36,36,18]",2026-01-29,"Knowledge panel, Sitelinks, Related searches",navigational,Organic
mold damage prince frederick,24,24,40,4,0.00,https://proactivwellnesscenters.com/cirs-mold-toxicity-treatment/frederick/,0,0,0.00,0,430000,"[60,100,80,60,60]",2026-01-02,"Video, AI overview",commercial,Organic
why fruit is good for you,64,0,40,76,0.36,https://proactivwellnesscenters.com/fruits-and-their-surprising-benefits/,0,0,0.00,0.01,1350000000,"[0,6,35,14,4,6,2,4,4,4,14,8]",2026-02-19,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
pravo wellness center,52,52,140,32,2.40,https://proactivwellnesscenters.com/,0,0,0.00,0.13,268000,"[42,80,42,52,19,80,100,100,52,42,100,100]",2026-01-16,"Knowledge panel, Sitelinks, Video, People also ask",navigational,Organic
augmented n-acetylcysteine,47,47,70,7,0.87,https://stores.proactivwellnesscenters.com/Augmented-NAC-90-capsules_p_1985.html,0,0,0.00,1,845000,"[13,13,8,16,0,1,0,0,0,0,0,1]",2026-01-14,"Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
homozygous mthfr c677t symptoms,82,82,70,42,0.10,https://proactivwellnesscenters.com/hormone-replacement/mthfr-implications-and-treatment/,0,0,0.00,0.01,60700,"[14,66,52,0,100,52,100,0,23,0,0,0]",2026-01-14,"Sitelinks, Video, Image, People also ask, Related searches, AI overview",informational,Organic
medical weight loss pa,76,76,40,11,0.00,https://proactivwellnesscenters.com/medical-weight-loss/pittsburgh/,0,0,0.00,0,143000000,"[0,0,1,0,0,1,1,2,2,2,2,2]",2026-01-24,"Local pack, Video, Image, Jobs search, People also ask, Related searches, Discussions and forums",commercial,Organic
cirs symptoms and treatment,43,0,50,7,0.00,https://proactivwellnesscenters.com/cirs-mold-toxicity-treatment/reston/,0,0,0.00,0,490000,"[12,15,9,12,15,15,15,21,21,12,21,15]",2026-02-19,"Sitelinks, Image, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
why is fruit good for you,75,75,480,71,0.05,https://proactivwellnesscenters.com/fruits-and-their-surprising-benefits/,0,0,0.00,0.02,1530000000,"[54,44,54,54,67,81,81,67,44,36,44,81]",2025-12-16,"Sitelinks, Video, Related searches, Discussions and forums, AI overview",informational,Organic
hormone replacement therapy in vienna virginia,43,43,70,3,4.09,https://proactivwellnesscenters.com/tag/hormone-replacement-therapy-testosterone/,0,0,0.00,0.26,116000,"[35,28,28,17,17,17,17,28,28,7,2,2]",2026-01-26,"Local pack, People also ask, Related searches",commercial,Organic
hormone replacement therapy in vienna virginia,62,62,70,3,4.09,https://proactivwellnesscenters.com/tag/iv-nutrient-therapy-vienna-va/,0,0,0.00,0.26,116000,"[35,28,28,17,17,17,17,28,28,7,2,2]",2026-01-26,"Local pack, People also ask, Related searches",commercial,Organic
can mold cause ms,20,20,30,21,3.82,https://proactivwellnesscenters.com/could-your-allergy-really-be-mold-illness/,0,0,0.00,0.05,34500000,"[18,18,18,18,18,18,18,18,18,18,45,45]",2026-01-09,"Sitelinks, People also ask, Related searches, AI overview",informational,Organic
moca memory test,98,98,590,55,0.53,https://proactivwellnesscenters.com/hormone-replacement/northern-virginia-bredesen-protocol-strategies-to-improve-brain-health-and-reverse-cognitive-decline-resulting-from-alzheimers/,0,0,0.00,0.03,3380000,"[66,66,66,66,66,81,81,81,66,81,100,66]",2025-12-18,"Image pack, Sitelinks, Video, Image, Related searches, AI overview",informational,Organic
folic acid gene mutation,68,68,320,51,0.19,https://proactivwellnesscenters.com/hormone-replacement/mthfr-implications-and-treatment/,0,0,0.00,0.08,3920000,"[35,35,35,54,44,66,66,54,44,54,54,54]",2025-12-30,"Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
hormone replacement therapy west virginia,63,63,50,6,0.00,https://proactivwellnesscenters.com/trt/morgantown/,0,0,0.00,0,2380000,"[7,100,100,100,100,7,7,7,7,7,7,0]",2026-01-04,"Local pack, Sitelinks, Image, Related searches",commercial,Organic
how to tell if you have mold in the house,1,1,50,52,0.81,https://proactivwellnesscenters.com/cirs-mold-toxicity-treatment/alexandria/,0,0,0.00,0.7,247000000,"[7,42,7,42,7,7,7,42,7,42,7,7]",2026-01-15,"Image pack, Sitelinks, Video, Ads bottom, Video Carousel, People also ask, Related searches, Short videos, Discussions and forums, AI overview",informational,People also ask
female sexual dysfunction treatment chevy chase,9,9,40,1,0.00,https://proactivwellnesscenters.com/gainswave-therapy/chevy-chase/,0,0,0.00,0,163000,"[0,100,100,57,28]",2026-01-08,"Local pack, Video, Image",commercial,Organic
remedies for leaky gut syndrome,83,83,320,33,0.82,https://proactivwellnesscenters.com/intestinal-permeability-leaky-gut-diagnosis-and-treatment/,0,0,0.00,1,186000,"[16,36,8,10,6,2,4,30,4,30,6,62]",2026-01-03,"Sitelinks, Image, Discussions and forums, AI overview",informational,Organic
fitness centers in herndon va,64,64,170,25,2.25,https://proactivwellnesscenters.com/pwc-max-weight-loss-program/herndon/,0,0,0.00,0.67,559000,"[43,35,35,22,22,66,35,29,22,29,35,54]",2026-01-20,"Local pack, Sitelinks, Video, Image, Ads bottom, Related searches",commercial,Organic
what is mold illness,70,70,170,68,0.00,https://proactivwellnesscenters.com/mold-illness-all-you-need-to-know/,0,0,0.00,0,54100000,"[17,32,11,14,21,11,11,17,17,26,11,9]",2026-02-02,"Image pack, Sitelinks, Image, People also ask, Related searches, AI overview",informational,Organic
medical weight loss frederick md,19,19,110,1,8.78,https://proactivwellnesscenters.com/medical-weight-loss/frederick/,0,0,0.00,0.43,5720000,"[66,66,42,52,52,52,33,23,66,80,80,100]",2025-12-23,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
heart attack prevention in vienna virginia,42,0,210,0,0.00,https://proactivwellnesscenters.com/,0,0,0.00,0,3780000,"[66,100,66,66,6,14,18,22,66,29,54,43]",2026-02-19,"Video, People also ask, Related searches, AI overview",informational,Organic
heart attack prevention in vienna virginia,72,0,210,0,0.00,https://proactivwellnesscenters.com/dr-lawson/,0,0,0.00,0,3780000,"[66,100,66,66,6,14,18,22,66,29,54,43]",2026-02-19,"Video, People also ask, Related searches, AI overview",informational,Organic
optimal sleep and weight loss clinic,57,57,90,27,0.82,https://proactivwellnesscenters.com/medical-weight-loss/woodbridge/,0,0,0.00,0.17,30600000,"[41,41,41,52,41,41,64,64,64,52,52,41]",2025-12-20,"Local pack, Sitelinks, Video, Related searches","commercial, navigational",Organic
fruits and their advantages,27,27,260,70,0.04,https://proactivwellnesscenters.com/fruits-and-their-surprising-benefits/,0,0,0.00,0.41,83600000,"[35,23,44,18,23,100,81,23,23,35,35,44]",2026-01-27,"Image pack, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
nutritional benefits of fruits,70,70,320,62,0.04,https://proactivwellnesscenters.com/fruits-and-their-surprising-benefits/,0,0,0.00,0.04,447000000,"[13,13,30,20,100,30,16,10,8,16,55,8]",2026-01-30,"Image pack, Sitelinks, Video, People also ask, Related searches, Short videos, AI overview",informational,Organic
soccer kicks arlington va,80,80,40,8,0.00,https://proactivwellnesscenters.com/medical-weight-loss/arlington/,0,0,0.00,0.01,54300,"[1,1,0,1,2,1,1,1,1,1,0,0]",2025-12-30,"Knowledge panel, Image pack, Video, Image, Related searches","informational, transactional",Organic
medical weight loss clinic washington dc,30,30,210,20,0.00,https://proactivwellnesscenters.com/medical-weight-loss/washington/,0,0,0.00,0,6590000,"[26,100,100,65,80]",2026-02-14,"Local pack, Sitelinks, Image, Related searches",commercial,Organic
what does fruit do to the body,76,76,90,73,0.00,https://proactivwellnesscenters.com/fruits-and-their-surprising-benefits/,0,0,0.00,0,1060000000,"[14,78,78,78,78,78,78,14,14,78,100,78]",2026-02-08,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
bioidentical hormone therapy for men,95,95,110,15,0.00,https://proactivwellnesscenters.com/hormone-replacement/bioidentical-hormone-replacement-therapy-for-men/,0,0,0.00,0,1790000,"[34,15,19,19,19,19,26,26,80,80,65,65]",2026-01-01,"Local pack, Sitelinks, Image, Related searches, Discussions and forums, AI overview",informational,Organic
sot for lyme,49,49,90,,0.00,https://proactivwellnesscenters.com/hormone-replacement/supportive-oligonucleotide-therapy-sot/,0,0,0.00,0,261000,"[21,28,28,28,28,34,21,34,34,34,34,21]",2026-01-20,"Image, People also ask, Related searches",informational,Organic
chova wellness,38,38,320,29,4.17,https://proactivwellnesscenters.com/,0,0,0.00,0.1,8800,"[43,43,66,54,66,66,54,66,66,66,66,100]",2026-01-01,"Knowledge panel, Sitelinks, Video, Related searches",navigational,Organic
pemf therapy options for back pain,79,79,210,12,0.00,https://proactivwellnesscenters.com/hormone-replacement/pulsed-electro-magnetic-field-pemf-therapy/,0,0,0.00,0,303000,[100],2026-01-08,"Image, People also ask, Related searches, Discussions and forums","commercial, informational",Organic
proactive iv,21,21,70,8,3.35,https://proactivwellnesscenters.com/nutritional-supplements/iv-nutritional-therapies/,0,0,0.00,0.09,35400000,"[63,81,63,63,81,81,63,81,81,63,81,45]",2026-01-03,"Knowledge panel, Sitelinks, Video, Related searches",navigational,Organic
testosterone replacement therapy seo,82,82,50,0,0.00,https://proactivwellnesscenters.com/trt/alexandria/,0,0,0.00,0,298000,"[7,50,35,28,7,14,50,50,100,78]",2026-02-08,"Video, Video Carousel, People also ask, AI overview",informational,Organic
polymva,58,58,260,42,1.66,https://proactivwellnesscenters.com/poly-mva-with-high-dose-c/,0,0,0.00,0.63,16000,"[11,21,17,21,21,14,39,26,39,26,39,21]",2026-02-07,"Knowledge panel, Sitelinks, Image, People also ask, Related searches","informational, transactional",Organic
weight loss center md,80,80,30,45,7.01,https://proactivwellnesscenters.com/medical-weight-loss/silver-spring/,0,0,0.00,0.45,239000000,"[0,42,28,42,57,28,14,100,71,57,14,14]",2026-01-25,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Organic
progesterone therapy men,72,72,90,45,4.26,https://proactivwellnesscenters.com/hormone-replacement/,0,0,0.00,0.07,4690000,"[14,14,14,78,78,78,78,64,50,64,100,50]",2026-02-05,"Video, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
mthfr supplement,1,1,720,44,1.26,https://proactivwellnesscenters.com/hormone-replacement/mthfr-implications-and-treatment/,0,0,0.00,1,1950000,"[30,55,62,81,55,45,55,62,20,24,20,20]",2026-01-06,"Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,People also ask
detox for leaky gut,68,68,30,38,1.21,https://proactivwellnesscenters.com/intestinal-permeability-leaky-gut-diagnosis-and-treatment/,0,0,0.00,1,642000,"[55,55,77,0,22,22,22,22,22,22,22,22]",2026-01-18,"Sitelinks, Image, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
progress weight management,71,71,390,26,2.99,https://proactivwellnesscenters.com/medical-weight-loss/pittsburgh/,0,0,0.00,0.26,471000000,"[43,54,66,81,100,66,81,66,81,81,81,81]",2026-01-07,"Knowledge panel, Sitelinks, Video, Ads bottom, Related searches",navigational,Organic
8300 boone blvd vienna va 22182,35,35,90,1,0.00,https://proactivwellnesscenters.com/contact-us/directions-to-the-office/,0,0,0.00,0.03,29600,"[33,42,42,42,42,42,42,33,19,33,33,52]",2026-01-02,"Image, Related searches","commercial, informational",Organic
8300 boone blvd vienna va 22182,57,57,90,1,0.00,https://proactivwellnesscenters.com/our-locations/,0,0,0.00,0.03,29600,"[33,42,42,42,42,42,42,33,19,33,33,52]",2026-01-02,"Image, Related searches","commercial, informational",Organic
fruit benefit,59,59,50,80,0.04,https://proactivwellnesscenters.com/fruits-and-their-surprising-benefits/,0,0,0.00,0.07,875000000,"[21,50,28,35,78,50,21,50,50,35,50,50]",2026-01-23,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
plaquex iv therapy near me,25,25,170,1,2.20,https://proactivwellnesscenters.com/plaquex-treatment/,0,0,0.00,0.6,5280,"[52,52,80,100,80,80,80,100,100,66,66,42]",2026-02-01,"Local pack, People also ask, Related searches",transactional,Organic
testosterone therapy frederick md,12,12,50,3,0.00,https://proactivwellnesscenters.com/trt/frederick/,0,0,0.00,0,71000,"[0,0,0,0,0,7,0,100,64,78,100,100]",2026-01-25,"Local pack, Video, Image, People also ask, Related searches",commercial,Organic
testosterone therapy frederick md,86,86,50,3,0.00,https://proactivwellnesscenters.com/trt/rockville/,0,0,0.00,0,71000,"[0,0,0,0,0,7,0,100,64,78,100,100]",2026-01-25,"Local pack, Video, Image, People also ask, Related searches",commercial,Organic
cirs doctors,19,19,50,10,2.32,https://proactivwellnesscenters.com/cirs-mold-toxicity-treatment/fairfax/,0,0,0.00,0.08,270000,"[17,11,11,11,64,64,17,17,41,41,64,41]",2026-01-13,"Video, Video Carousel, People also ask, Related searches","commercial, informational",Organic
ryan homes westfields hagerstown md,38,38,40,15,0.92,https://proactivwellnesscenters.com/cirs-mold-toxicity-treatment/chantilly/,0,0,0.00,0.55,93300,"[9,9,9,9,9,9,9,9,52,52,9,9]",2026-01-06,"Local pack, Sitelinks, Video, Image, Related searches","navigational, transactional",Organic
advantages of eating fruits,68,68,170,,0.05,https://proactivwellnesscenters.com/fruits-and-their-surprising-benefits/,0,0,0.00,0.04,142000000,"[28,18,15,5,18,100,35,8,23,23,15,18]",2026-01-20,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
weight management center near me,82,82,110,33,7.06,https://proactivwellnesscenters.com/medical-weight-loss/arlington/,0,0,0.00,0.8,1530000000,"[64,41,52,64,52,82,100,82,52,64,41,29]",2025-12-22,"Local pack, Sitelinks, Related searches",transactional,Organic
medical weight loss gaithersburg md,12,12,50,3,0.00,https://proactivwellnesscenters.com/medical-weight-loss/gaithersburg/,0,0,0.00,0,326000,"[42,100,71]",2026-02-10,"Local pack, Image, People also ask, Related searches",commercial,Organic
medical weight loss gaithersburg md,29,29,50,3,0.00,https://proactivwellnesscenters.com/pwc-max-weight-loss-program/gaithersburg/,0,0,0.00,0,326000,"[42,100,71]",2026-02-10,"Local pack, Image, People also ask, Related searches",commercial,Organic
medical weight loss gaithersburg md,80,80,50,3,0.00,https://proactivwellnesscenters.com/medical-weight-loss/rockville/,0,0,0.00,0,326000,"[42,100,71]",2026-02-10,"Local pack, Image, People also ask, Related searches",commercial,Organic
rite aid in bellevue,55,55,140,22,1.39,https://proactivwellnesscenters.com/contact-us/refills/,0,0,0.00,0.14,138000,"[43,100,0,81,65,81,53,100,34,0,0,0]",2026-02-18,"Local pack, Video, Image, People also ask, Related searches",commercial,Organic
moold,1,1,260,95,3.25,https://proactivwellnesscenters.com/cirs-mold-toxicity-treatment/alexandria/,0,0,0.00,0.3,457000000,"[81,1,0,18,81,81,0,0,44,5,100,100]",2026-01-15,"Knowledge panel, Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Things to know",informational,People also ask
community centers in pg county md,62,62,140,32,0.00,https://proactivwellnesscenters.com/medical-weight-loss/prince-georges-county/,0,0,0.00,0.01,23000000,"[53,43,53,34,34,12,100,43,21,43,21,15]",2026-02-11,"Local pack, Sitelinks, Video, Image, Related searches",commercial,Organic
community centers in pg county md,94,94,140,32,0.00,https://proactivwellnesscenters.com/medical-weight-loss/prince-georges-county/,0,0,0.00,0.01,23000000,"[53,43,53,34,34,12,100,43,21,43,21,15]",2026-02-11,"Local pack, Sitelinks, Video, Image, Related searches",commercial,Organic
leaky gut curable,43,43,1600,47,0.77,https://proactivwellnesscenters.com/intestinal-permeability-leaky-gut-diagnosis-and-treatment/,0,0,0.00,1,29000,"[44,5,65,82,100,65,82,3,24,55,44,55]",2026-02-01,"Image pack, Sitelinks, Image, People also ask, Related searches, AI overview",informational,Organic
benefits of eating fruits,72,72,480,71,0.04,https://proactivwellnesscenters.com/fruits-and-their-surprising-benefits/,0,0,0.00,0.02,415000000,"[44,36,54,44,81,54,81,67,36,36,54,44]",2026-01-10,"Image pack, Video, Related searches, Discussions and forums, AI overview",informational,Organic
weight loss clinic york pa,6,6,50,19,8.91,https://proactivwellnesscenters.com/medical-weight-loss/york/,0,0,0.00,0.8,106000000,"[19,26,26,34,26,26,26,19,7,7,7,7]",2026-02-09,"Local pack, Sitelinks, Image, People also ask, Related searches, Discussions and forums",commercial,Organic
fibromyalgia and fatigue treatment,64,64,90,48,0.77,https://proactivwellnesscenters.com/hormone-replacement/fibromyalgia-and-fatigue-integrative-treatment-program/,0,0,0.00,0.56,10700000,"[50,50,50,35,78,78,78,64,100,78,78,64]",2026-02-07,"Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
what is sot,40,40,720,17,0.00,https://proactivwellnesscenters.com/hormone-replacement/supportive-oligonucleotide-therapy-sot/,0,0,0.00,0,141000000,"[45,55,55,55,55,55,55,55,55,55,67,67]",2026-01-14,"Sitelinks, Video, Image, People also ask, Related searches, AI overview",informational,Organic
what is sot,41,41,720,17,0.00,https://proactivwellnesscenters.com/hormone-replacement/supportive-oligonucleotide-therapy-sot/,0,0,0.00,0,141000000,"[45,55,55,55,55,55,55,55,55,55,67,67]",2026-01-14,"Sitelinks, Video, Image, People also ask, Related searches, AI overview",informational,Organic
hrt in vienna va,29,29,140,4,0.00,https://proactivwellnesscenters.com/,0,0,0.00,0.06,123000,"[80,65,100,19,34,53,65,34,34,80,19,34]",2026-01-22,"Local pack, Video, Image, Related searches, AI overview",commercial,Organic
hrt in vienna va,55,55,140,4,0.00,https://proactivwellnesscenters.com/tag/hormone-replacement-therapy-testosterone/,0,0,0.00,0.06,123000,"[80,65,100,19,34,53,65,34,34,80,19,34]",2026-01-22,"Local pack, Video, Image, Related searches, AI overview",commercial,Organic
quest diagnostics fairfax drive arlington va,55,55,50,22,0.00,https://proactivwellnesscenters.com/pwc-max-weight-loss-program/fairfax/,0,0,0.00,0.02,20600,"[18,45,18,18,18,100,100,18,18,18,100,18]",2026-01-06,"Knowledge panel, People also ask, Related searches","informational, navigational",Organic
what does mthfr gene mutation cause,33,33,70,56,0.08,https://proactivwellnesscenters.com/hormone-replacement/mthfr-implications-and-treatment/,0,0,0.00,0.17,1430000,"[23,29,41,41,11,11,64,64,64,52,52,41]",2026-02-16,"Sitelinks, Video, Image, People also ask, Related searches, AI overview",informational,Organic
mold remediation in washington dc,96,96,30,18,18.86,https://proactivwellnesscenters.com/cirs-mold-toxicity-treatment/washington/,0,0,0.00,0.5,287000,"[0,0,42,42,42,28,28,28,100,100,57,14]",2026-01-12,"Local pack, Sitelinks, Video, Related searches, Discussions and forums",commercial,Organic
doctors who treat mold illness near me,17,17,30,1,1.58,https://proactivwellnesscenters.com/cirs-mold-toxicity-treatment/fairfax/,0,0,0.00,0.41,15400000,"[6,6,6,6,6,6,6,9,21,21,15,15]",2026-01-05,"Local pack, People also ask, Related searches, AI overview",transactional,Organic
mold cirs symptoms,46,46,50,18,0.00,https://proactivwellnesscenters.com/cirs-mold-toxicity-treatment/chevy-chase/,0,0,0.00,0,163000,"[9,4,14,9,9,4,9,100,52,33,23,33]",2026-01-02,"Image pack, Featured snippet, Image, People also ask, Related searches, Discussions and forums",informational,Organic
sot therapy for cancer,37,37,90,3,0.00,https://proactivwellnesscenters.com/hormone-replacement/supportive-oligonucleotide-therapy-sot/,0,0,0.00,0,970000,"[66,80,66,80,52,33,4,42,23,0,4,4]",2026-02-08,"Video, Image, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
sot therapy for cancer,57,57,90,3,0.00,https://proactivwellnesscenters.com/hormone-replacement/supportive-oligonucleotide-therapy-sot/,0,0,0.00,0,970000,"[66,80,66,80,52,33,4,42,23,0,4,4]",2026-02-08,"Video, Image, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
mold removal bethesda,50,50,50,5,0.00,https://proactivwellnesscenters.com/cirs-mold-toxicity-treatment/bethesda/,0,0,0.00,0.01,197000,"[11,11,11,11,11,17,11,11,64,64,82,82]",2026-01-24,"Local pack, Image, People also ask, Related searches",commercial,Organic
mold removal bethesda,62,62,50,5,0.00,https://proactivwellnesscenters.com/cirs-mold-toxicity-treatment/bethesda/,0,0,0.00,0.01,197000,"[11,11,11,11,11,17,11,11,64,64,82,82]",2026-01-24,"Local pack, Image, People also ask, Related searches",commercial,Organic
nutrients that fruits provide,56,56,170,78,0.00,https://proactivwellnesscenters.com/fruits-and-their-surprising-benefits/,0,0,0.00,0,110000000,"[0,0,0,100,0,0,0,0,0,0,0]",2025-12-31,"Image pack, Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
gaithersburg non-invasive fat removal,28,28,50,0,0.00,https://proactivwellnesscenters.com/medical-weight-loss/gaithersburg/,0,0,0.00,0,59600,"[28,100,71]",2026-02-17,Related searches,commercial,Organic
fruits and what they are good for,64,64,90,58,0.04,https://proactivwellnesscenters.com/fruits-and-their-surprising-benefits/,0,0,0.00,0.47,897000000,"[11,64,100,64,82,52,64,64,52,41,41,29]",2026-02-12,"Image pack, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
rivas frederick md,52,52,40,19,62.18,https://proactivwellnesscenters.com/medical-weight-loss/frederick/,0,0,0.00,0.45,773000,"[57,57,100,57,71,71,57,28,28,28,71,57]",2026-01-17,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
erectile dysfunction fairfax county,14,14,170,0,0.00,https://proactivwellnesscenters.com/gainswave-therapy/fairfax/,0,0,0.00,0.33,1350000,"[0,17,66,53,100,0,0,100,66,35,35,35]",2026-02-01,"People also ask, Related searches, AI overview",commercial,Organic
erectile dysfunction fairfax county,33,33,170,0,0.00,https://proactivwellnesscenters.com/gainswave-therapy/reston/,0,0,0.00,0.33,1350000,"[0,17,66,53,100,0,0,100,66,35,35,35]",2026-02-01,"People also ask, Related searches, AI overview",commercial,Organic
erectile dysfunction fairfax county,43,43,170,0,0.00,https://proactivwellnesscenters.com/gainswave-therapy/reston/,0,0,0.00,0.33,1350000,"[0,17,66,53,100,0,0,100,66,35,35,35]",2026-02-01,"People also ask, Related searches, AI overview",commercial,Organic
erectile dysfunction fairfax county,52,52,170,0,0.00,https://proactivwellnesscenters.com/trt/fairfax/,0,0,0.00,0.33,1350000,"[0,17,66,53,100,0,0,100,66,35,35,35]",2026-02-01,"People also ask, Related searches, AI overview",commercial,Organic
